id,a,b,add,sub,mul,div,cmp,round2,trunc2,sqrt
1,1.50,2,3.50,-0.50,3.00,0.75000000000000000000,-1,1.50,1.50,1.224744871391589
2,1.00,2,3.00,-1.00,2.00,0.50000000000000000000,-1,1.00,1.00,1.000000000000000
3,1,3,4,-2,3,0.33333333333333333333,-1,1.00,1.00,1.000000000000000
4,200,3,203,197,600,66.6666666666666667,1,200.00,200.00,14.142135623730950
5,-200,3,-197,-203,-600,-66.6666666666666667,-1,-200.00,-200.00,
6,1,8,9,-7,8,0.12500000000000000000,-1,1.00,1.00,1.000000000000000
7,3,8,11,-5,24,0.37500000000000000000,-1,3.00,3.00,1.732050807568877
8,0.1,0.2,0.3,-0.1,0.02,0.50000000000000000000,-1,0.10,0.10,0.31622776601683793
9,1.005,1,2.005,0.005,1.005,1.00500000000000000000,1,1.01,1.00,1.002496882788171
10,2.5,1,3.5,1.5,2.5,2.5000000000000000,1,2.50,2.50,1.581138830084190
11,-2.5,1,-1.5,-3.5,-2.5,-2.5000000000000000,-1,-2.50,-2.50,
12,0.125,1,1.125,-0.875,0.125,0.12500000000000000000,-1,0.13,0.12,0.35355339059327376
13,0.00,5,5.00,-5.00,0.00,0.00000000000000000000,-1,0.00,0.00,0.000000000000000
14,1.50,1.50,3.00,0.00,2.2500,1.00000000000000000000,0,1.50,1.50,1.224744871391589
15,1.5,1.500,3.000,0.000,2.2500,1.00000000000000000000,0,1.50,1.50,1.224744871391589
16,9999999999999999999,1,10000000000000000000,9999999999999999998,9999999999999999999,9999999999999999999,1,9999999999999999999.00,9999999999999999999.00,3162277660.1683793
17,-9999999999999999999,0.0000000000000000001,-9999999999999999998.9999999999999999999,-9999999999999999999.0000000000000000001,-0.9999999999999999999,-99999999999999999990000000000000000000.0000000000000000000,-1,-9999999999999999999.00,-9999999999999999999.00,
18,1234.5678,8765.4321,9999.9999,-7530.8643,10821520.22374638,0.14084505885340210439,-1,1234.57,1234.56,35.136417005722140
19,0.1234567890123456789,0.9876543210987654321,1.1111111101111111110,-0.8641975320864197532,0.12193263113702179522374638011112635269,0.12499999886093750001,-1,0.12,0.12,0.3513641828820144253
20,12345678901234567.89,0.001,12345678901234567.891,12345678901234567.889,12345678901234.56789,12345678901234567890.000,1,12345678901234567.89,12345678901234567.89,111111110.6111111
21,1,7,8,-6,7,0.14285714285714285714,-1,1.00,1.00,1.000000000000000
22,22,7,29,15,154,3.1428571428571429,1,22.00,22.00,4.690415759823430
23,1,0.0000001,1.0000001,0.9999999,0.0000001,10000000.000000000000,1,1.00,1.00,1.000000000000000
24,10,4,14,6,40,2.5000000000000000,1,10.00,10.00,3.162277660168379
25,6.00,2.0,8.00,4.00,12.000,3.0000000000000000,1,6.00,6.00,2.449489742783178
26,100,4,104,96,400,25.0000000000000000,1,100.00,100.00,10.000000000000000
