func,arg1,arg2,value
Ln,1,,0
Ln,2,,0.69314718055994530941723212145817656807550013436025525412068000949339362196969472
Ln,10,,2.3025850929940456840179914546843642076011014886287729760333279009675726096773525
Ln,0.5,,-0.69314718055994530941723212145817656807550013436025525412068000949339362196969472
Ln,0.1,,-2.3025850929940456840179914546843642076011014886287729760333279009675726096773525
Ln,3,,1.0986122886681096913952452369225257046474905578227494517346943336374942932186090
Ln,7,,1.9459101490553133051053527434431797296370847295818611884593901499375798627520693
Ln,1.5,,0.40546510810816438197801311546434913657199042346249419761401432414410067124891425
Ln,2.718281828459045235,,0.99999999999999999986745764637771048592413522629187959453158197484454327519980521
Ln,1.0000000000000000001,,0.000000000000000000099999999999999999995000000000000000000333333333333333333308333333333333333335333
Ln,0.9999999999999999999,,-0.00000000000000000010000000000000000000500000000000000000033333333333333333335833333333333333333533
Ln,1.000000001,,0.00000000099999999950000000033333333308333333353333333316666666680952380939880952392063492
Ln,0.999999999,,-0.0000000010000000005000000003333333335833333335333333335000000001428571429821428572539683
Ln,1.05,,0.048790164169432003065374404223164658607973664415582410040076573114107924323631039
Ln,1.126825,,0.11940394349742345233506347954140886254086418241104812433550091491746577247195533
Ln,0.98,,-0.020202707317519448408045301024192387852533383733568321027195492566591871880871709
Ln,100,,4.6051701859880913680359829093687284152022029772575459520666558019351452193547050
Ln,1000000,,13.815510557964274104107948728106185245606608931772637856199967405805435658064115
Ln,1E-19,,-43.749116766886867996341837639002919944420928283946686544633230118383879583869697
Ln,1E-19,,-43.749116766886867996341837639002919944420928283946686544633230118383879583869697
Ln,123456789.123456789,,18.631401767168018032693933348296537542797015174553735308351756611901741276655161
Ln,340282366920938463463374607431768211455,,88.722839111672999605405711546646600713661078462235616808677119373811327997926373
Ln,1E-10,,-23.025850929940456840179914546843642076011014886287729760333279009675726096773525
Ln,99999999999999999999,,46.051701859880913680349829093687284152021979772575459520666557686018118860213716
Ln,1.0001,,0.000099995000333308335333166680951131063482064401071075512661294321644916074071719077
Ln,0.9999,,-0.00010000500033335833533350001428696439683539773457107551408986576271634475661140262
Exp,0,,1
Exp,1,,2.7182818284590452353602874713526624977572470936999595749669676277240766303535476
Exp,-1,,0.36787944117144232159552377016146086744581113103176783450783680169746149574489980
Exp,2,,7.3890560989306502272304274605750078131803155705518473240871278225225737960790578
Exp,-2,,0.13533528323661269189399949497248440340763154590957588146815887265407337410148769
Exp,0.5,,1.6487212707001281468486507878141635716537761007101480115750793116406610211942156
Exp,-0.5,,0.60653065971263342360379953499118045344191813548718695568289215873505651941374842
Exp,10,,22026.465794806716516957900645284244366353512618556781074235426355225202818570793
Exp,-10,,0.000045399929762484851535591515560550610237918088866564969259071305650999421614302282
Exp,88,,165163625499400185552832979626485876706.96288420000448138888115075308155590848548
Exp,-43,,0.00000000000000000021151310375910804866314010070226514701966301639505200425360081263278966211713322
Exp,88.7,,332598698025056958557177232449175859217.64000707143517030155890206567113164487625
Exp,-43.6,,0.00000000000000000011608085252936166068822754505084114412181539994417427228075173052959937485955156
Exp,1E-19,,1.0000000000000000001000000000000000000050000000000000000001666666666666666666708
Exp,-1E-19,,0.99999999999999999990000000000000000000499999999999999999983333333333333333333750
Exp,1E-9,,1.0000000010000000005000000001666666667083333333416666666680555555557539682539931
Exp,-1E-9,,0.99999999900000000049999999983333333337499999999166666666805555555535714285716766
Exp,0.05,,1.0512710963760240396975176363356452201748212960550625287839384791662798696505613
Exp,-0.05,,0.95122942450071400909142531977965216065708744934037313453024956606670315516848694
Exp,23.025850929940456840,,9999999999.9999999982008545315635792400516973579524677911363558448209516242999669
Exp,1.000000000000000001,,2.7182818284590452380785692998117077344766754792821446908574054285102083268724484
Exp,50,,5184705528587072464087.4533229334853848274691005838464019040569338068568847937954
Exp,-30,,0.000000000000093576229688401746049158322233787067449583226889358804164133186199608428337676169
Exp,0.1,,1.1051709180756476248117078264902466682245471947375187187928632894409679667476543
Exp,-0.1,,0.90483741803595957316424905944643662119470536098040095205625731705577996534424836
Exp,12.345678901234567890,,229964.19485298854518425713084451402775898544261590702395149457369919981825781275
Ln1p,1E-19,,0.000000000000000000099999999999999999995000000000000000000333333333333333333308333333333333333335333
Expm1,1E-19,,0.0000000000000000001000000000000000000050000000000000000001666666666666666666708
Ln1p,-1E-19,,-0.00000000000000000010000000000000000000500000000000000000033333333333333333335833333333333333333533
Expm1,-1E-19,,-0.00000000000000000009999999999999999999500000000000000000016666666666666666666250
Ln1p,1E-9,,0.00000000099999999950000000033333333308333333353333333316666666680952380939880952392063492
Expm1,1E-9,,0.0000000010000000005000000001666666667083333333416666666680555555557539682539931
Ln1p,-1E-9,,-0.0000000010000000005000000003333333335833333335333333335000000001428571429821428572539683
Expm1,-1E-9,,-0.00000000099999999950000000016666666662500000000833333333194444444464285714283234
Ln1p,0.0001,,0.000099995000333308335333166680951131063482064401071075512661294321644916074071719077
Expm1,0.0001,,0.0001000050001666708334166680555753970734154541721783810346353909723112359727818
Ln1p,-0.0001,,-0.00010000500033335833533350001428696439683539773457107551408986576271634475661140262
Expm1,-0.0001,,-0.00009999500016666250008333194446428546627259697420659972534540112653641995986095
